                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84875,                 1.1817,                0.24499,                0.47561,                 1.2825,                 0.9193,                0.92857,                0.90734,                0.68496,                      1,                0.61997,                0.65228,                0.36637,                0.87629,                 3.9793,                0.30954,                0.53569,                  1.027,                      0,                      0,                      0
                      2,                 1.3286,                 3.0298,                0.29263,                 1.0285,                 1.3758,                0.91849,                0.92857,                0.90731,                 0.6866,                      1,                 0.6286,                0.65218,                0.36628,                0.87266,                 3.9963,                0.31148,                0.53609,                 1.0271,             1.9208e-05,             1.9208e-05,             1.9208e-05
                      3,                 1.3216,                 2.9692,                 0.3162,                0.93037,                  1.343,                0.91828,                0.92857,                0.90732,                0.68526,                      1,                0.63543,                0.65222,                0.36631,                0.87237,                 3.9938,                0.31417,                0.53559,                 1.0269,             3.6832e-05,             3.6832e-05,             3.6832e-05
                      4,                 1.5466,                 3.9699,                0.41425,                 1.2643,                 1.4247,                0.91807,                0.92857,                0.90734,                0.68482,                0.99256,                0.64286,                0.65228,                 0.3558,                0.86982,                  4.008,                0.31474,                0.54068,                 1.0281,             5.2872e-05,             5.2872e-05,             5.2872e-05
                      5,                 1.3928,                 2.4934,                0.32522,                 1.2877,                 1.4714,                 0.9184,                0.92857,                0.90728,                0.69725,                0.97175,                0.64286,                0.65209,                0.35768,                0.87626,                 4.1463,                0.31611,                 0.5442,                  1.033,             6.7328e-05,             6.7328e-05,             6.7328e-05
                      6,                 1.1555,                 2.9652,                0.35859,                  1.056,                 1.1932,                 0.9282,                0.92375,                 0.9174,                0.66464,                 0.9713,                0.64286,                0.65249,                0.33737,                0.86868,                 4.1746,                0.33922,                0.55372,                 1.0453,               8.02e-05,               8.02e-05,               8.02e-05
                      7,                0.87411,                 1.8017,                0.20615,                0.66004,                 1.4199,                      1,                0.83497,                0.90529,                0.66347,                0.86718,                0.57143,                0.55069,                0.32066,                 0.9332,                 4.3609,                 0.3295,                0.61544,                 1.0919,             9.1488e-05,             9.1488e-05,             9.1488e-05
                      8,                  1.077,                 2.2123,                0.28719,                0.94168,                 1.3338,                      1,                0.84197,                0.90524,                0.69214,                0.86944,                0.57143,                0.54277,                    0.3,                 0.9554,                 4.4285,                0.32872,                0.65005,                 1.1009,             0.00010119,             0.00010119,             0.00010119
                      9,                 1.3312,                 4.0993,                0.44997,                 1.0147,                  1.477,                      1,                0.84197,                0.90524,                0.69214,                0.86944,                0.57143,                0.54277,                    0.3,                 0.9554,                 4.4285,                0.32872,                0.65005,                 1.1009,             0.00010931,             0.00010931,             0.00010931
                     10,                   0.91,                 1.7935,                0.30698,                0.68273,                 1.1426,                0.99204,                0.78571,                 0.8979,                0.65734,                0.87338,                0.57143,                0.54266,                0.26538,                0.97092,                  4.734,                0.33845,                0.70799,                 1.1239,             0.00011585,             0.00011585,             0.00011585
                     11,                  1.318,                 1.2898,                0.32213,                 1.1132,                  1.453,                0.99204,                0.78571,                 0.8979,                0.65734,                0.87338,                0.57143,                0.54266,                0.26538,                0.97092,                  4.734,                0.33845,                0.70799,                 1.1239,              0.0001208,              0.0001208,              0.0001208
